"Compound_ID","MOA"
"Capsaicin(Vanilloid)","TRPV agonist"
"Captisol (SBE-β-CD)","bacterial cell wall synthesis inhibitor"
"Captopril","angiotensin converting enzyme inhibitor"
"Carazolol","adrenergic receptor antagonist"
"Carbachol","cholinergic receptor agonist"
"Carbadox","other antibiotic"
"Carbamazepine","carboxamide antiepileptic"
"Carbaryl","acetylcholinesterase inhibitor"
"Carbenicillin disodium","bacterial cell wall synthesis inhibitor"
"Carbidopa","aromatic L-amino acid decarboxylase inhibitor"
"Carbimazole","antithyroid agent"
"CarbinoxaMine Maleate","histamine receptor antagonist"
"Carboplatin","DNA alkylating agent, DNA inhibitor"
"Carfilzomib (PR-171)","proteasome inhibitor"
"Carglumic Acid","carbamoyl phosphate synthase activator"
"Cariprazine HCl","dopamine receptor antagonist"
"Carmofur","thymidylate synthase inhibitor"
"Carmustine","DNA inhibitor, DNA alkylating agent"
"Carprofen","cyclooxygenase inhibitor"
"Carteolol HCl","adrenergic receptor antagonist"
"Carvedilol","adrenergic receptor antagonist"
"Carvedilol Phosphate","adrenergic receptor antagonist"
"Caspofungin Acetate","fungal 1,3-beta-D-glucan synthase inhibitor"
"Catharanthine","tubulin polymerization inhibitor"
"Cathepsin Inhibitor 1","cathepsin inhibitor"
"CAY10505","PI3K inhibitor"
"CB-5083","valosin-containing protein inhibitor"
"CB-839","glutaminase inhibitor"
"CC-223","mTOR inhibitor"
"CCG 50014","G protein signaling inhibitor"
"CCT128930","AKT inhibitor"
"CCT129202","Aurora kinase inhibitor"
"CCT137690","Aurora kinase inhibitor"
"CCT245737","kinase inhibitor"
"Cediranib (AZD2171)","KIT inhibitor, VEGFR inhibitor"
"Cediranib Maleate","KIT inhibitor, VEGFR inhibitor"
"Cefaclor","bacterial cell wall synthesis inhibitor"
"Cefadroxil hydrate","bacterial cell wall synthesis inhibitor"
"Cefamandole nafate","bacterial cell wall synthesis inhibitor"
"Cefathiamidine","bacterial cell wall synthesis inhibitor"
"Cefazedone","bacterial cell wall synthesis inhibitor"
"Cefazolin","bacterial cell wall synthesis inhibitor"
"Cefazolin Sodium","bacterial cell wall synthesis inhibitor"
"Cefcapene Pivoxil Hydrochloride","bacterial cell wall synthesis inhibitor"
"Cefdinir","bacterial cell wall synthesis inhibitor"
"Cefditoren Pivoxil","bacterial cell wall synthesis inhibitor"
"Cefepime Dihydrochloride Monohydrate","bacterial cell wall synthesis inhibitor"
"Cefetamet pivoxil hydrochloride","bacterial cell wall synthesis inhibitor"
"Cefixime","bacterial cell wall synthesis inhibitor"
"Cefmenoxime hydrochloride","bacterial cell wall synthesis inhibitor"
"Cefminox Sodium","bacterial cell wall synthesis inhibitor"
"Cefodizime Sodium","bacterial cell wall synthesis inhibitor"
"Cefonicid sodium","bacterial cell wall synthesis inhibitor"
"Cefoperazone","bacterial cell wall synthesis inhibitor"
"Ceforanide","penicillin binding protein inhibitor"
"Cefotaxime","bacterial cell wall synthesis inhibitor"
"Cefotaxime sodium","bacterial cell wall synthesis inhibitor"
"Cefotiam hydrochloride","bacterial cell wall synthesis inhibitor"
"Cefoxitin","bacterial cell wall synthesis inhibitor"
"Cefoxitin sodium","bacterial cell wall synthesis inhibitor"
"Cefpiramide sodium","bacterial cell wall synthesis inhibitor"
"Cefpirome sulfate","bacterial cell wall synthesis inhibitor"
"Cefpodoxime proxetil","bacterial cell wall synthesis inhibitor"
"Cefradine","bacterial cell wall synthesis inhibitor"
"Cefsulodin sodium","bacterial cell wall synthesis inhibitor"
"Ceftazidime","bacterial cell wall synthesis inhibitor"
"Ceftezole","bacterial cell wall synthesis inhibitor"
"Ceftezole sodium","bacterial cell wall synthesis inhibitor"
"Ceftibuten dihydrate","bacterial cell wall synthesis inhibitor"
"Ceftiofur","bacterial cell wall synthesis inhibitor"
"Ceftizoxime","bacterial cell wall synthesis inhibitor"
"Ceftizoxime sodium","bacterial cell wall synthesis inhibitor"
"Ceftriaxone Sodium Trihydrate","bacterial cell wall synthesis inhibitor"
"Cefuroxime axetil","bacterial cell wall synthesis inhibitor"
"Cefuroxime sodium","bacterial cell wall synthesis inhibitor"
"Celecoxib","cyclooxygenase inhibitor"
"Celiprolol hydrochloride","adrenergic receptor antagonist"
"CEP-18770 (Delanzomib)","proteasome inhibitor"
"CEP-32496","RAF inhibitor"
"CEP-33779","JAK inhibitor"
"Cephalexin","bacterial cell wall synthesis inhibitor"
"Cephalomannine","DNA polymerase inhibitor"
"Cephalothin","bacterial cell wall synthesis inhibitor"
"Cephapirin Benzathine","bacterial cell wall synthesis inhibitor"
"Cepharanthine","NFkB pathway inhibitor"
"Cephradine monohydrate","bacterial cell wall synthesis inhibitor"
"Cerdulatinib (PRT062070. PRT2070)","JAK inhibitor, syk inhibitor"
"Ceritinib (LDK378)","ALK tyrosine kinase receptor inhibitor"
"Cetilistat","triacylglycerol lipase inhibitor"
"Cetirizine DiHCl","histamine receptor antagonist"
"Cevimeline","acetylcholine receptor agonist"
"CFTRinh-172","chloride channel blocker"
"CGK 733","ATR kinase inhibitor, ATM kinase inhibitor"
"CGP 57380","MAP kinase inhibitor"
"CGS 21680 HCl","5 alpha reductase inhibitor"
"CH5132799","PI3K inhibitor"
"CH5183284 (Debio-1347)","fibroblast growth factor inhibitor"
"Chenodeoxycholic Acid","FXR agonist, 11-beta hydroxysteroid dehydrogenase inhibitor"
"CHF 5074","gamma secretase modulator"
"CHIR-124","CHK inhibitor"
"CHIR-98014","glycogen synthase kinase inhibitor"
"CHIR-99021 (CT99021) HCl","glycogen synthase kinase inhibitor"
"Chloramphenicol","bacterial 50S ribosomal subunit inhibitor"
"Chloramphenicol sodium succinate","bacterial cell wall synthesis inhibitor"
"Chlorhexidine","membrane integrity inhibitor"
"Chlorhexidine diacetate","membrane integrity inhibitor"
"Chlorhexidine?2HCl","membrane integrity inhibitor"
"Chlormadinone acetate","androgen receptor antagonist"
"Chlormezanone","GABA receptor modulator"
"Chloroambucil","DNA inhibitor"
"Chlorobutanol","bacterial cell wall synthesis inhibitor"
"Chlorocresol","ryanodine receptor activator"
"Chlorogenic Acid","antioxidant"
"Chloroprocaine HCl","sodium channel blocker"
"Chloropyramine hydrochloride","histamine receptor antagonist"
"Chloroquine Phosphate","antimalarial agent"
"Chlorothiazide","diuretic"
"Chlorotrianisene","estrogenic hormone"
"Chloroxine","opioid receptor antagonist"
"Chloroxylenol","ATP synthase inhibitor"
"Chlorphenesin","muscle relaxant"
"Chlorpheniramine Maleate","histamine receptor antagonist"
"Chlorpromazine","dopamine receptor antagonist"
"Chlorpropamide","ATP channel blocker"
"Chlorprothixene","dopamine receptor antagonist"
"Chlorquinaldol","other antibiotic"
"Chlortetracycline HCl","bacterial cell wall synthesis inhibitor"
"Chlorthalidone","carbonic anhydrase inhibitor"
"Chlorzoxazone","bacterial 30S ribosomal subunit inhibitor"
"Cholic acid","bile acid"
"Choline bitartrate","acetylcholine precursor"
"Choline Chloride","acetylcholine precursor"
"Choline Fenofibrate","PPAR receptor agonist"
"Chromocarb","antispasmodic"
"Chrysin","breast cancer resistance protein inhibitor"
"Chrysophanic Acid","EGFR inhibitor"
"CI994 (Tacedinaline)","HDAC inhibitor"
"Ciclesonide","glucocorticoid receptor agonist"
"Ciclopirox","membrane integrity inhibitor"
"Cidofovir","DNA polymerase inhibitor"
"Cilastatin","dehydropeptidase inhibitor"
"Cilazapril Monohydrate","angiotensin receptor antagonist"
"Cilengitide","integrin antagonist"
"Cilengitide?trifluoroacetate","integrin antagonist"
"Cilnidipine","calcium channel blocker"
"Cilomilast","phosphodiesterase inhibitor"
"Cilostazol","phosphodiesterase inhibitor"
"Cimetidine","histamine receptor antagonist"
"Cinacalcet HCl","calcium channel activator"
"Cinchocaine","sodium channel blocker"
"Cinchonidine","P glycoprotein inhibitor"
"Cinchonine(LA40221)","P glycoprotein inhibitor"
"Cinchophen","analgesic agent"
"Cinepazide maleate","calcium channel activator"
"Cinitapride Hydrogen Tartrate","serotonin receptor antagonist"
"Cinnamaldehyde","aldose reductase inhibitor, TRPV agonist"
"Cinnarizine","calcium channel blocker"
"Cinoxacin","topoisomerase inhibitor"
"Ciprofibrate","PPAR receptor agonist"
"Ciprofloxacin hydrochloride hydrate","bacterial DNA gyrase inhibitor"
"Ciproxifan","histamine receptor antagonist"
"cis-Anethole","glutathione transferase stimulant"
"Cisapride hydrate","serotonin receptor agonist"
"Cisatracurium Besylate","acetylcholine receptor antagonist"
"Cisplatin","DNA synthesis inhibitor, DNA alkylating agent"
"Citalopram HBr","selective serotonin reuptake inhibitor (SSRI)"
"Citarinostat (ACY-241)","HDAC inhibitor"
"Citiolone","lipotropic, mucolytic agent"
"Citric acid","coagulation factor inhibitor"
"CK-636","actin related protein inhibitor"
"Cladribine","ribonucleotide reductase inhibitor, adenosine deaminase inhibitor"
"Clarithromycin","bacterial 50S ribosomal subunit inhibitor"
"Clebopride (malate)","dopamine receptor antagonist"
"Clemastine Fumarate","histamine receptor antagonist"
"Clemizole","HCV inhibitor"
"Clevidipine Butyrate","calcium channel blocker"
"Clevudine","DNA polymerase inhibitor"
"Clidinium Bromide","acetylcholine receptor antagonist"
"Climbazole","enzyme inducer"
"Clindamycin","protein synthesis inhibitor, bacterial 50S ribosomal subunit inhibitor"
"Clindamycin alcoholate","protein synthesis inhibitor"
"Clindamycin HCl","protein synthesis inhibitor"
"Clindamycin palmitate HCl","bacterial 50S ribosomal subunit inhibitor"
"Clindamycin Phosphate","protein synthesis inhibitor"
"Clinofibrate","lipase clearing factor inhibitor"
"Clioquinol","chelating agent"
"Clobetasol propionate","glucocorticoid receptor agonist"
"clobetasone butyrate","corticosteroid agonist"
"Clofarabine","ribonucleotide reductase inhibitor"
"Clofazimine","GK0582 inhibitor"
"Clofibrate","PPAR receptor agonist"
"Clofibric Acid","PPAR receptor agonist"
"Clofoctol","protein synthesis inhibitor"
"Clomifene citrate","estrogen receptor antagonist"
"Clomipramine HCl","serotonin transporter (SERT) inhibitor"
"Clonidine HCl","adrenergic receptor agonist"
"Clonixin","cyclooxygenase inhibitor"
"Clopamide","sodium/chloride cotransporter inhibitor"
"Cloperastine hydrochloride","antitussive"
"Clopidogrel","purinergic receptor antagonist"
"Clopidol","bacterial cell wall synthesis inhibitor"
"Clorgyline HCl","monoamine oxidase inhibitor"
"Clorprenaline HCl","adrenergic receptor agonist"
"Clorsulon","glycolysis inhibitor"
"Closantel","NFkB pathway inhibitor, chitinase inhibitor"
"Clotrimazole","cytochrome P450 inhibitor, imidazoline receptor ligand"
"Cloxacillin Sodium","bacterial cell wall synthesis inhibitor"
"Cloxiquine","potassium channel activator"
"Clozapine","dopamine receptor antagonist, serotonin receptor antagonist"
"CNX-774","Bruton's tyrosine kinase (BTK) inhibitor"
"CO-1686 (AVL-301)","EGFR inhibitor"
"Cobicistat (GS-9350)","cytochrome P450 inhibitor"
"Cobimetinib (GDC-0973. RG7420)","MEK inhibitor"
"Colchicine","microtubule inhibitor"
"Colistin Sulfate","bacterial cell wall synthesis inhibitor"
"Combretastatin A4","tubulin polymerization inhibitor"
"Conivaptan HCl","vasopressin receptor antagonist"
"Corticosterone","mineralocorticoid receptor agonist"
"Cortisone","glucocorticoid receptor agonist, androgen receptor antagonist"
"Cortisone acetate","glucocorticoid receptor agonist"
"Costunolide","telomerase inhibitor"
"COTI-2","anticancer agent"
"Coumarin","vitamin K antagonist"
"CP-673451","PDGFR tyrosine kinase receptor inhibitor"
"CP-724714","protein tyrosine kinase inhibitor, EGFR inhibitor"
"CP-91149","glycogen phosphorylase inhibitor"
"CP21R7 (CP21)","porcupine inhibitor"
"CPI-1205","EZH2 inhibitor"
"CPI-444","adenosine receptor antagonist"
"CPI-613","pyruvate dehydrogenase inhibitor"
"Crenigacestat (LY3039478)","gamma secretase inhibitor"
"Crenolanib (CP-868596)","PDGFR tyrosine kinase receptor inhibitor"
"Crisaborole (AN2728)","phosphodiesterase inhibitor"
"Crizotinib (PF-02341066)","ALK tyrosine kinase receptor inhibitor"
"Cryptotanshinone","acetylcholinesterase inhibitor, STAT inhibitor"
"Crystal Violet","other antibiotic"
"CTEP (RO4956371)","glutamate receptor antagonist"
"CUDC-101","EGFR inhibitor"
"CUDC-907","PI3K inhibitor"
"Curculigoside","cyclooxygenase inhibitor"
"Curcumin","cyclooxygenase inhibitor, histone acetyltransferase inhibitor, lipoxygenase inhibitor, NFkB pathway inhibitor"
"Curcumol","JAK inhibitor"
"CX-4945 (Silmitasertib)","casein kinase inhibitor"
"CX-5461","RNA polymerase inhibitor"
"CYC116","Aurora kinase inhibitor"
"Cyclandelate","calcium channel blocker"
"Cyclizine 2HCl","histamine receptor modulator"
"Cyclo (-RGDfK)","integrin antagonist"
"Cyclo(RGDyK)","integrin antagonist"
"Cyclobenzaprine HCl","adrenergic receptor agonist, serotonin receptor agonist"
"Cyclocytidine HCl","DNA synthesis inhibitor, RNA synthesis inhibitor"
"Cyclopentolate Hydrochloride","acetylcholine receptor antagonist"
"Cyclophosphamide Monohydrate","DNA alkylating agent"
"Cyclosporin A","calcineurin inhibitor"
"Cyclothiazide","glutamate receptor modulator"
"Cyproheptadine HCl","histamine receptor antagonist"
"Cyproheptadine hydrochloride","histamine receptor antagonist"
"Cyproterone Acetate","androgen receptor antagonist"
"Cysteamine HCl","tissue transglutaminase inhibitor"
"Cytarabine","ribonucleotide reductase inhibitor"
"Cytarabine hydrochloride","thymidylate synthase inhibitor"
"Cytidine","ribonucleotide reductase inhibitor"
"Cytisine","acetylcholine receptor agonist"
"Cytochalasin D","microtubule inhibitor"
"CZC24832","PI3K inhibitor"
"D panthenol","vitamin D receptor agonist"
"D-(+)-Trehalose Anhydrous","pharmacological chaperone"
"D-(+)-Trehalose dihydrate","pharmacological chaperone"
"D-Cycloserine","bacterial cell wall synthesis inhibitor"
"D-Mannitol","diuretic"
"D-Pantethine","coenzyme A precursor"
"D-Pantothenate Sodium","vitamin D receptor agonist"
"D-Pantothenic acid","coenzyme A precursor"
"D-Phenylalanine","enkephalinase inhibitor"
"Dabigatran Etexilate","thrombin inhibitor"
"Dabrafenib (GSK2118436)","RAF inhibitor"
"Dabrafenib Mesylate","RAF inhibitor"
"Dacarbazine","DNA alkylating agent"
"Daclatasvir (BMS-790052)","HCV inhibitor"
"Daclatasvir Digydrochloride","HCV inhibitor"
"Dacomitinib (PF299804. PF299)","EGFR inhibitor"
"Daidzein","estrogen receptor agonist"
"Daidzin","antioxidant"
"Dalbavancin","bacterial cell wall synthesis inhibitor"
"Dalcetrapib (JTT-705. RO4607381)","cholesteryl ester transfer protein inhibitor"
"Daminozide","KDM2A inhibitor"
"Danazol","estrogen receptor antagonist, progesterone receptor agonist"
"Danirixin (GSK1325756)","CC chemokine receptor antagonist"
"Danofloxacin Mesylate","bacterial DNA gyrase inhibitor"
"Danoprevir (ITMN-191)","HCV inhibitor"
"Danshensu","cytochrome P450 inhibitor"
"Danthron","laxative"
"Dantrolene sodium","calcium channel blocker"
"Dantrolene sodium hemiheptahydrate","calcium channel blocker"
"Danusertib (PHA-739358)","growth factor receptor inhibitor, Aurora kinase inhibitor"
"Dapagliflozin","sodium/glucose cotransporter inhibitor"
"Dapagliflozin propanediol monohydrate","sodium/glucose cotransporter inhibitor"
"Dapansutrile (OLT1177)","anti-inflammatory agent"
"Daphnetin","protein kinase inhibitor"
"Dapiprazole Hydrochloride","adrenergic receptor antagonist"
"Dapivirine (TMC120)","non-nucleoside reverse transcriptase inhibitor"
"Dapoxetine HCl","selective serotonin reuptake inhibitor (SSRI)"
"Daprodustat (GSK1278863)","hypoxia inducible factor inhibitor"
"Dapson","bacterial antifolate"
"DAPT (GSI-IX)","gamma secretase inhibitor"
"Daptomycin","bacterial cell wall synthesis inhibitor"
"Darifenacin HBr","acetylcholine receptor antagonist"
"Darolutamide (ODM-201)","androgen receptor antagonist"
"Darunavir Ethanolate","HIV protease inhibitor"
"Dasabuvir(ABT-333)","HCV inhibitor"
"Dasatinib","src inhibitor, PDGFR tyrosine kinase receptor inhibitor, Bcr-Abl kinase inhibitor, tyrosine kinase inhibitor, ephrin inhibitor, KIT inhibitor"
"Dasatinib hydrochloride","src inhibitor, PDGFR tyrosine kinase receptor inhibitor, Bcr-Abl kinase inhibitor, tyrosine kinase inhibitor, ephrin inhibitor, KIT inhibitor"
"Dasatinib Monohydrate","src inhibitor, PDGFR tyrosine kinase receptor inhibitor, Bcr-Abl kinase inhibitor, tyrosine kinase inhibitor, ephrin inhibitor, KIT inhibitor"
"Daunorubicin HCl","topoisomerase inhibitor, RNA synthesis inhibitor"
"DBeQ","ATPase inhibitor"
"DCC-2036 (Rebastinib)","TIE tyrosine kinase inhibitor, VEGFR inhibitor, Bcr-Abl kinase inhibitor"
"DCC-2618","KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor"
"Decamethonium Bromide","acetylcholine receptor agonist"
"Decitabine","DNA methyltransferase inhibitor"
"Defactinib (VS-6063. PF-04554878)","focal adhesion kinase inhibitor"
"Deferasirox","chelating agent"
"Deferiprone","chelating agent"
"Deferoxamine mesylate","chelating agent"
"Deflazacort","glucocorticoid receptor agonist"
"Deforolimus","mTOR inhibitor"
"Degrasyn (WP1130)","deubiquitinase inhibitor"
"Dehydroandrographolide","chloride channel blocker"
"Dehydrocostus Lactone","GABA transaminase inhibitor"
"Dehydroepiandrosterone (DHEA)","protein synthesis stimulant"
"Delamanid","bacterial cell wall synthesis inhibitor"
"Delapril Hydrochloride","angiotensin converting enzyme inhibitor"
"Delavirdine (mesylate)","non-nucleoside reverse transcriptase inhibitor"
"Demecarium Bromide","acetylcholinesterase inhibitor"
"Demeclocycline HCl","bacterial cell wall synthesis inhibitor"
"Deoxyarbutin","tyrosinase inhibitor"
"Deoxycholic acid","G protein-coupled receptor agonist, biliverdin reductase A activator"
"Deoxycorticosterone acetate","progestogen hormone"
"Derazantinib(ARQ-087)","FGFR inhibitor"
"Desipramine Hydrochloride","tricyclic antidepressant"
"Desloratadine","histamine receptor antagonist"
"Desogestrel","progesterone receptor agonist"
"Desonide","glucocorticoid receptor agonist"
"Desoximetasone","glucocorticoid receptor agonist"
"Desvenlafaxine","serotoninâ€“norepinephrine reuptake inhibitor (SNRI)"
"Detomidine HCl","adrenergic receptor agonist"
"Dexamethasone (DHAP)","glucocorticoid receptor agonist"
"Dexamethasone Acetate","glucocorticoid receptor agonist"
"Dexamethasone Sodium Phosphate","autophagy inducer"
"Dexlansoprazole","ATPase inhibitor"
"Dexmedetomidine","adrenergic receptor agonist"
"Dexrazoxane HCl (ICRF-187. ADR-529)","topoisomerase inhibitor, chelating agent"
"Dextromethorphan hydrobromide hydrate","glutamate receptor antagonist, sigma receptor agonist"
"Diacerein","interleukin inhibitor"
"Diammonium Glycyrrhizinate","cyclooxygenase inhibitor"
"Diaveridine","dihydrofolate reductase inhibitor"
"Diazolidinyl urea","bacterial cell wall synthesis inhibitor"
"Diazoxide","potassium channel activator"
"Dibucaine HCl","sodium channel blocker"
"Dibutyryl-cAMP (Bucladesine)","PKA activator"
"Dichlorophene","anticestodal agent"
"Dichlorphenamide","carbonic anhydrase inhibitor"
"Diclazuril","antiprotozoal agent"
"Diclofenac acid","cyclooxygenase inhibitor"
"Diclofenac Diethylamine","cyclooxygenase inhibitor"
"Diclofenac Epolamine","cyclooxygenase inhibitor"
"Diclofenac Potassium","cyclooxygenase inhibitor"
"Diclofenac Sodium","cyclooxygenase inhibitor"
"Dicoumarol","NADPH inhibitor"
"Dicyclomine HCl","acetylcholine receptor antagonist"
"Didanosine","nucleoside reverse transcriptase inhibitor"
"Dienestrol","estrogen receptor agonist"
"Dienogest","progesterone receptor agonist"
"Diethylcarbamazine citrate","bacterial cell wall synthesis inhibitor"
"Diethylstilbestrol","estrogen receptor agonist"
"Diflorasone","glucocorticoid receptor agonist"
"Difloxacin hydrochloride","bacterial DNA gyrase inhibitor"
"Diflunisal","prostanoid receptor antagonist"
"Difluprednate","glucocorticoid receptor agonist"
"Digoxigenin","steroid"
"Digoxin","ATPase inhibitor"
"Dihydroergotamine Mesylate","adrenergic receptor antagonist"
"Dihydrostreptomycin sulfate","bacterial cell wall synthesis inhibitor"
"Dihydrotestosterone(DHT)","androgen receptor agonist"
"Diiodohydroxyquinoline","antiseptic"
"Diltiazem HCl","calcium channel blocker"
"Dimemorfan phosphate","sigma receptor agonist"
"Dimenhydrinate","histamine receptor antagonist"
"Dimesna","tubulin polymerization inhibitor"
"Dimethyl Fumarate","like (NRF2) activator, nuclear factor erythroid derived"
"Dimetridazole","bacterial DNA inhibitor"
"Diminazene Aceturate","angiotensin converting enzyme activator"
"Dinaciclib (SCH727965)","CDK inhibitor"
"Dinitolmide","bacterial cell wall synthesis inhibitor"
"Dioscin","apoptosis stimulant"
"Diosmetin","aryl hydrocarbon receptor agonist"
"Diosmin","capillary stabilizing agent, aryl hydrocarbon receptor agonist"
"Diperodon HCl","local anesthetic"
"Diphemanil Methylsulfate","acetylcholine receptor antagonist"
"Diphenhydramine HCl","histamine receptor antagonist"
"Diphenidol HCl","acetylcholine receptor agonist"
"Diphenylpyraline hydrochloride","dopamine uptake inhibitor"
"Dipyridamole","phosphodiesterase inhibitor"
"Diquafosol Tetrasodium","purinergic receptor antagonist"
"Dirithromycin","bacterial 50S ribosomal subunit inhibitor"
"Diroximel Fumarete","anti-inflammatory agent"
"Disodium Cromoglycate","calcium channel blocker"
"Disulfiram","TRPV agonist, DNA methyltransferase inhibitor, aldehyde dehydrogenase inhibitor"
"Dithranol","DNA synthesis inhibitor"
"Divalproex Sodium","HDAC inhibitor"
"DMH1","ALK tyrosine kinase receptor inhibitor"
"DMXAA (Vadimezan)","angiogenesis inhibitor"
"Docetaxel","tubulin polymerization inhibitor"
"Docetaxel Trihydrate","tubulin polymerization inhibitor"
"Docosahexaenoic Acid","PPAR receptor agonist"
"Docusate Sodium","opioid receptor antagonist"
"Dofetilide","potassium channel blocker"
"Dolasetron","serotonin receptor antagonist"
"Dolasetron Mesylate","serotonin receptor antagonist"
"Dolutegravir (GSK1349572)","HIV integrase inhibitor"
"Dolutegravir Sodium","HIV integrase inhibitor"
"Domperidone","dopamine receptor antagonist"
"Donepezil","acetylcholinesterase inhibitor"
"Dopamine HCl","dopamine receptor agonist"
"Doravirine (MK-1439)","nucleoside reverse transcriptase inhibitor"
"Doripenem","bacterial cell wall synthesis inhibitor"
"Dorzolamide HCl","carbonic anhydrase inhibitor"
"Dovitinib (TKI-258) Dilactic Acid","FGFR inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor, EGFR inhibitor, FLT3 inhibitor"
"Doxapram HCl","potassium channel blocker"
"Doxazosin","adrenergic receptor antagonist"
"Doxepin HCl","histamine receptor antagonist"
"Doxercalciferol","vitamin D receptor agonist"
"Doxifluridine","thymidylate synthase inhibitor"
"Doxofylline","adenosine receptor antagonist"
"Doxorubicin (Adriamycin)","topoisomerase inhibitor"
"Doxycycline","bacterial 30S ribosomal subunit inhibitor, metalloproteinase inhibitor"
"Doxycycline monohydrate","bacterial cell wall synthesis inhibitor"
"Doxylamine Succinate","histamine receptor antagonist"
"Dronedarone","adrenergic receptor antagonist"
"Droperidol","dopamine receptor antagonist"
"Dropropizine","antitussive"
"Drospirenone","mineralocorticoid receptor antagonist"
"Drostanolone Propionate","androgen receptor antagonist"
"Droxidopa","norepinephrine precursor"
"Droxinostat","HDAC inhibitor"
"Duloxetine HCl","serotoninâ€“norepinephrine reuptake inhibitor (SNRI), norepinephrine reuptake inhibitor"
"Dutasteride","5 alpha reductase inhibitor"
"Duvelisib (IPI-145. INK1197)","PI3K inhibitor"
"Dyclonine HCl","sodium channel blocker"
"Dydrogesterone","progesterone receptor agonist"
"Dynasore","dynamin inhibitor"
"Dyphylline","phosphodiesterase inhibitor, adenosine receptor antagonist"
"E-64","cysteine peptidase inhibitor, calpain inhibitor, cysteine protease inhibitor"
"E7449","PARP inhibitor"
"E7820","angiogenesis inhibitor"
"Ebastine","histamine receptor antagonist"
"Ebselen","glutathione peroxidase agonist, nitric oxide synthase inhibitor, H+/K+-ATPase inhibitor, cyclooxygenase inhibitor"
"Econazole","lanosterol demethylase inhibitor, sterol demethylase inhibitor"
"Edaravone","nootropic agent"
"Edonerpic maleate","beta amyloid protein neurotoxicity inhibitor"
"Edoxaban","coagulation factor inhibitor"
"Edrophonium chloride","acetylcholinesterase inhibitor"
"Efaproxiral Sodium","haemoglobin oxygen release stimulant"
"Efavirenz","HIV protease inhibitor"
"Efinaconazole","lanosterol demethylase inhibitor"
"Eflornithine hydrochloride hydrate","ornithine decarboxylase inhibitor"
"Efonidipine","calcium channel blocker"
"eFT-508 (eFT508)","MAP kinase inhibitor"
"EHop-016","Ras GTPase inhibitor"
"Eicosapentaenoic Acid","platelet aggregation inhibitor"
"Elafibranor","PPAR receptor agonist"
"Elagolix Sodium","estrogen receptor agonist"
"Elaiophylin","bacterial 50S ribosomal subunit inhibitor"
"Elbasvir","HCV inhibitor"
"Elesclomol (STA-4783)","oxidative stress inducer"
"Eletriptan HBr","serotonin receptor agonist"
"Eliglustat","Glycosyl transferase inhibitor"
"Eloxatin","DNA inhibitor"
"Eltanexor (KPT-8602)","exportin antagonist"
"Eltrombopag","thrombopoietin receptor agonist"
"Eltrombopag Olamine","thrombin inhibitor"
"Elvitegravir (GS-9137. JTK-303)","HIV integrase inhibitor"
"Embelin","HCV inhibitor, XIAP inhibitor"
"Emedastine","histamine receptor antagonist"
"Emodin","11-beta hydroxysteroid dehydrogenase inhibitor"
"Empagliflozin (BI 10773)","sodium/glucose cotransporter inhibitor"
"Emricasan","caspase inhibitor"
"Emtricitabine","nucleoside reverse transcriptase inhibitor"
"Enalapril Maleate","angiotensin converting enzyme inhibitor"
"Enalaprilat Dihydrate","angiotensin converting enzyme inhibitor"
"Enasidenib (AG-221)","isocitrate dehydrogenase inhibitor"
"Endoxifen HCl","estrogen receptor antagonist"
"ENMD-2076 L-(+)-Tartaric acid","VEGFR inhibitor, FLT3 inhibitor, Aurora kinase inhibitor"
"Enoxacin","topoisomerase inhibitor"
"Enoxacin Sesquihydrate","bacterial cell wall synthesis inhibitor"
"Enoxolone","gap junction modulator"
"Enrofloxacin","bacterial DNA gyrase inhibitor"
"Ensartinib (X-396) dihydrochloride","DNA alkylating agent"
"Entacapone","catechol O methyltransferase inhibitor"
"Entecavir","DNA replication inhibitor, nucleoside reverse transcriptase inhibitor"
"Entinostat (MS-275)","HDAC inhibitor"
"Entospletinib (GS-9973)","syk inhibitor"
"Entrectinib (RXDX-101)","proto-oncogene tyrosine protein kinase inhibitor, ALK tyrosine kinase receptor inhibitor"
"Enzalutamide (MDV3100)","androgen receptor antagonist"
"Enzastaurin (LY317615)","PKC inhibitor"
"Epacadostat (INCB024360)","indoleamine 2,3-dioxygenase inhibitor"
"Epalrestat","aldose reductase inhibitor"
"Eperisone hydrochloride","acetylcholine receptor antagonist"
"Epiandrosterone","steroid"
"Epinastine HCl","histamine receptor antagonist"
"Epinephrine bitartrate","adrenergic receptor agonist, neurotransmitter"
"Epinephrine HCl","adrenergic receptor agonist, neurotransmitter"
"Epirubicin HCl","topoisomerase inhibitor"
"Eplerenone","cytochrome P450 inhibitor"
"Epothilone A","microtubule stabilizing agent"
"Epothilone B","microtubule inhibitor"
"Epoxomycin","proteasome inhibitor"
"Eprazinone 2HCl","mucolytic agent"
"Eprosartan Mesylate","angiotensin receptor antagonist"
"Eptifibatide Acetate","5 alpha reductase inhibitor"
"EPZ004777","histone lysine methyltransferase inhibitor"
"EPZ005687","histone lysine methyltransferase inhibitor"
"EPZ5676","histone lysine methyltransferase inhibitor"
"Equol","estrogen receptor agonist"
"Erastin","ion channel antagonist"
"Erdafitinib (JNJ-42756493)","FGFR inhibitor"
